,Sl,Station_Names,Year,Month,Max_Temp,Min_Temp,Rainfall,Relative_Humidity,Wind_Speed,Cloud_Coverage,Bright_Sunshine,Station_Number,X_COR,Y_COR,LATITUDE,LONGITUDE,ALT,Period,Flood?
5135,9706,Jessore,1991,11,31.6,16.3,0.0,78.0,0.3,2.1,6.6,41936,420062.7,562498.8,23.17,89.22,7,1991.11,0
5136,16956,Sandwip,2006,1,30.0,12.6,0.0,78.0,2.0,1.6,7.5,41964,650012.1,488627.9,22.5,91.46,6,2006.01,0
5137,10417,Khepupara,2011,2,31.0,16.2,0.0,72.0,3.3,0.9,8.0,41984,522893.1,430006.8,21.98,90.22,3,2011.02,0
5138,17596,Satkhira,1993,5,36.5,25.0,203.0,78.0,2.5,5.0,7.9,41946,404211.7,508367.2,22.68,89.07,6,1993.05,0
5139,12940,Mongla,1993,5,35.5,25.1,186.0,84.0,2.9,4.6,7.338461538,41958,452007.3,499110.5,22.43,89.66,4,1993.05,0
5140,8958,Ishurdi,1995,7,33.8,25.9,224.0,84.0,1.6,6.8,3.4,41907,402483.2,667640.8,24.12,89.04,14,1995.07,0
5141,2786,Chittagong (City-Ambagan),2013,3,34.8,21.1,5.0,70.0,3.8,1.4,6.411130628,41977,0.0,0.0,22.35,91.8166,0,2013.03,0
5142,11772,Madaripur,1984,1,27.0,12.7,4.0,69.0,0.2,1.3,6.0,41939,518762.7,561770.3,23.17,90.18,5,1984.01,0
5143,12032,Madaripur,2005,9,35.3,26.5,164.0,86.0,0.1,5.1,4.5,41939,518762.7,561770.3,23.17,90.18,5,2005.09,0
5144,459,Barisal,1987,4,37.5,23.7,150.0,82.0,1.5,4.2,7.7,41950,536809.8,510151.9,22.7,90.36,4,1987.04,0
5145,10284,Khepupara,2000,1,29.7,14.1,26.0,78.0,1.0,0.8,7.9,41984,522893.1,430006.8,21.98,90.22,3,2000.01,0
5146,155,Barisal,1961,12,26.6,12.6,0.0,82.0,0.2,0.2,7.725531915,41950,536809.8,510151.9,22.7,90.36,4,1961.12,0
5147,6262,Dinajpur,1978,11,30.1,16.3,3.0,75.0,0.4,1.0,7.7,41863,365790.2,834718.0,25.63,88.66,37,1978.11,0
5148,16964,Sandwip,2006,9,34.6,25.0,776.0,87.0,1.5,6.0,5.5,41964,650012.1,488627.9,22.5,91.46,6,2006.09,1
